,Code,Direction,Price,Volume,VolumeMatched,State,AvgMatchingPrice,OrderTime,OrderNum,Mkt,Account,Config
44,000001.SZSE,1,0.01,100,0,NotMatched,0,2016-01-11 00:00:00,44,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
45,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,45,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
46,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-11 00:00:00,46,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
47,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,47,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
48,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,48,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
49,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-12 00:00:00,49,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
50,000001.SZSE,0,0,100,100,AllMatched,10.8035955,2016-01-12 00:00:00,50,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
51,000001.SZSE,1,100,100,0,NotMatched,0,2016-01-12 00:00:00,51,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
52,000001.SZSE,1,0.01,100,0,NotMatched,0,2016-01-12 00:00:00,52,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
53,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,53,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
54,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-12 00:00:00,54,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
55,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,55,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
56,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,56,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
57,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-13 00:00:00,57,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
58,000001.SZSE,0,0,100,100,AllMatched,10.7036455,2016-01-13 00:00:00,58,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
59,000001.SZSE,1,100,100,0,NotMatched,0,2016-01-13 00:00:00,59,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
60,000001.SZSE,1,0.01,100,0,NotMatched,0,2016-01-13 00:00:00,60,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'Wrong order price!', 'CashFrozen': 0}"
61,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,61,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
62,000001.SZSE,1,0,6000,0,NotMatched,0,2016-01-13 00:00:00,62,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
63,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,63,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
64,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,64,Mkt,<CounterMod.Account object at 0x0000000008911898>,{'CashFrozen': 0}
65,000001.SZSE,1,0,10000000000,0,NotMatched,0,2016-01-14 00:00:00,65,Mkt,<CounterMod.Account object at 0x0000000008911898>,"{'OrderCancelReson': 'CashAvailable not enough!', 'CashFrozen': 0}"
