,MatchingTime,Code,Direction,Price,Volume,VolumeMatched,State,AvgMatchingPrice,MatchingVol,OrderTime,OrderNum,CloseProfit,Mkt,Account,Config
76,2016-02-04 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.9559755,100,2016-02-04 00:00:00,189,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
77,2016-02-05 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.9140405,100,2016-02-05 00:00:00,194,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
78,2016-02-05 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.9259605,100,2016-02-05 00:00:00,197,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
79,2016-02-15 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.7841055,100,2016-02-15 00:00:00,202,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
80,2016-02-15 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.7958955,100,2016-02-15 00:00:00,205,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
81,2016-02-16 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.0039955,100,2016-02-16 00:00:00,210,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
82,2016-02-16 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.0160055,100,2016-02-16 00:00:00,213,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
83,2016-02-17 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.1439255,100,2016-02-17 00:00:00,218,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
84,2016-02-17 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.1560755,100,2016-02-17 00:00:00,221,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
85,2016-02-18 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.0839555,100,2016-02-18 00:00:00,226,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
86,2016-02-18 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.0960455,100,2016-02-18 00:00:00,229,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
87,2016-02-19 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.0339805,100,2016-02-19 00:00:00,234,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
88,2016-02-19 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.0460205,100,2016-02-19 00:00:00,237,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
89,2016-02-22 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.2838555,100,2016-02-22 00:00:00,242,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
90,2016-02-22 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.2961455,100,2016-02-22 00:00:00,245,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
91,2016-02-23 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.1139405,100,2016-02-23 00:00:00,250,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
92,2016-02-23 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.1260605,100,2016-02-23 00:00:00,253,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
93,2016-02-24 00:00:00,000001.SZSE,0,0,100,100,AllMatched,10.1439255,100,2016-02-24 00:00:00,258,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
94,2016-02-24 00:00:00,000001.SZSE,1,0,100,100,AllMatched,10.1560755,100,2016-02-24 00:00:00,261,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
95,2016-02-25 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.6641655,100,2016-02-25 00:00:00,266,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
96,2016-02-25 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.6758355,100,2016-02-25 00:00:00,269,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
97,2016-02-26 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.7841055,100,2016-02-26 00:00:00,274,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
98,2016-02-26 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.7958955,100,2016-02-26 00:00:00,277,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
99,2016-02-29 00:00:00,000001.SZSE,0,0,100,100,AllMatched,9.5542205,100,2016-02-29 00:00:00,282,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
100,2016-02-29 00:00:00,000001.SZSE,1,0,100,100,AllMatched,9.5657805,100,2016-02-29 00:00:00,285,0,Mkt,<CounterMod.Account object at 0x0000000008346198>,{'CashFrozen': 0}
